#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	SRS014459-Stool	SRS014464-Anterior_nares	SRS014470-Tongue_dorsum	SRS014472-Buccal_mucosa	SRS014476-Supragingival_plaque	SRS014494-Posterior_fornix
UNCLASSIFIED	100.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	0.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Proteobacteria	0.0	81.20128	0.0	14.7449	0.0	0.0
k__Bacteria|p__Actinobacteria	0.0	18.79872	0.0	0.0	85.43048	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0	81.20128	0.0	14.7449	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.0	18.79872	0.0	0.0	85.43048	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	0.0	81.20128	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	0.0	18.79872	0.0	0.0	53.75141	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	0.0	81.20128	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	0.0	18.79872	0.0	0.0	53.75141	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Moraxella	0.0	81.20128	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0.0	18.79872	0.0	0.0	53.75141	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Moraxella|s__Moraxella_nonliquefaciens	0.0	81.20128	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudodiphtheriticum	0.0	18.79872	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Moraxella|s__Moraxella_nonliquefaciens|t__SGB10426	0.0	81.20128	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudodiphtheriticum|t__SGB17013	0.0	18.79872	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	0.0	0.0	74.02531	85.2551	14.56952	100.0
k__Bacteria|p__Bacteroidota	0.0	0.0	25.97469	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0	0.0	74.02531	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.0	0.0	25.97469	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.0	0.0	74.02531	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	0.0	0.0	25.97469	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.0	0.0	74.02531	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.0	0.0	25.97469	0.0	0.0	0.0
